Metric,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Ticker,Dec 2011,Mar 2019,Jun 2019,Sep 2019,Mar 2022,Jun 2018,Sep 2018,Dec 2018,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Dec 2005,Dec 2006,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015
Net Profit +,86,94,113,149,118,104,112,143,115,116,38,30,60,CARBORUNIV.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,4.15,4.69,5.75,7.22,5.96,5.36,5.86,7.09,5.94,6.09,1.83,1.53,3.25,CARBORUNIV.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CARBORUNIV.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,,,,,,,,,,,,,,CASTROLIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,,,,,,,,,,,,,,CASTROLIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,,,,,,,,,,,,,,CASTROLIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,,,,,,,,,,,,,,CASTROLIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,,,,,,,,,,,,,,CASTROLIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,,,,,,,,,,,,,,CASTROLIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,,,,,,,,,,,,,,CASTROLIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,,,,,,,,,,,,,,CASTROLIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,,,,,,,,,,,,,,CASTROLIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,,,,,,,,,,,,,,CASTROLIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CASTROLIND.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,2818,2894,2727,2875,2935,3053,2963,2992,3193,3305,3300,3421,3529,CEATLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,2653,2691,2490,2507,2548,2597,2546,2600,2810,2942,2959,3033,3142,CEATLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,165,203,238,368,387,456,418,392,383,362,341,388,388,CEATLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,6%,7%,9%,13%,13%,15%,14%,13%,12%,11%,10%,11%,11%,CEATLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,2,-14,2,-6,3,10,3,-55,14,3,3,-33,1,CEATLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,52,58,66,67,70,72,66,62,62,66,75,74,82,CEATLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,111,115,117,125,121,124,127,136,132,137,141,152,151,CEATLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,4,16,56,170,199,270,228,139,203,162,128,129,156,CEATLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,31%,65%,27%,27%,27%,25%,24%,33%,27%,29%,28%,28%,27%,CEATLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,9,6,35,132,144,208,181,102,154,121,97,99,112,CEATLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,2.29,1.94,8.75,33.05,35.75,51.42,44.87,26.84,38.11,30.13,24.01,24.60,27.80,CEATLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CEATLTD.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue +,5555,6184,6746,7171,7259,7377,7842,8371,8367,8235,8542,8653,8623,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,3397,3421,3444,3643,4062,4338,4672,4811,4801,4807,4984,5238,5222,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,2671,3039,3401,4043,3118,3534,3377,3561,3920,3500,3373,4067,3395,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Profit,-513,-276,-99,-514,79,-495,-207,-1,-354,-71,185,-652,6,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Margin %,-9%,-4%,-1%,-7%,1%,-7%,-3%,-0%,-4%,-1%,2%,-8%,0%,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,832,909,919,1424,959,1062,1329,1363,1166,1649,1232,1823,1872,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,319,633,820,910,1038,567,1122,1363,812,1578,1418,1171,1878,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,24%,49%,43%,37%,59%,-7%,35%,40%,-9%,42%,32%,11%,33%,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,276,344,476,592,498,623,738,817,945,926,966,1106,1284,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,0.31,0.39,0.55,0.68,0.57,0.72,0.85,0.94,1.09,1.06,1.11,1.22,1.42,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross NPA %,14.84%,9.64%,8.83%,8.41%,4.95%,4.61%,4.50%,4.50%,4.54%,4.59%,3.87%,3.18%,3.14%,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net NPA %,3.93%,2.95%,2.09%,1.77%,1.75%,1.64%,1.28%,1.24%,0.75%,0.70%,0.61%,0.56%,0.50%,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CENTRALBK.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,889,909,884,965,891,997,937,1061,1005,1184,1140,1198,1169,CENTURYPLY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,746,786,755,802,758,853,831,923,894,1072,1011,1064,1041,CENTURYPLY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,143,123,129,164,133,144,106,137,111,111,130,135,128,CENTURYPLY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,16%,14%,15%,17%,15%,14%,11%,13%,11%,9%,11%,11%,11%,CENTURYPLY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,6,20,5,16,12,15,9,8,-5,-2,2,2,2,CENTURYPLY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,4,4,4,4,6,6,8,10,15,17,18,19,22,CENTURYPLY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,19,19,19,20,23,23,23,25,34,34,34,36,37,CENTURYPLY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,126,120,110,155,116,129,84,110,58,58,80,82,71,CENTURYPLY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,22%,25%,26%,25%,25%,26%,28%,41%,31%,26%,35%,26%,CENTURYPLY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,93,94,82,115,87,97,63,78,34,40,59,53,53,CENTURYPLY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,4.15,4.23,3.70,5.16,3.91,4.36,2.84,3.58,1.55,1.80,2.63,2.36,2.33,CENTURYPLY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CENTURYPLY.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,397,416,458,536,429,463,439,549,401,493,452,581,422,CERA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,334,348,383,445,358,387,377,454,343,420,391,472,367,CERA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,63,68,75,90,70,76,61,95,58,72,62,108,55,CERA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,16%,16%,16%,17%,16%,17%,14%,17%,14%,15%,14%,19%,13%,CERA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,-1,11,13,4,15,11,16,16,16,18,12,14,18,CERA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,1,1,1,2,1,1,2,2,1,3,2,2,2,CERA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,8,8,9,8,8,9,10,10,9,11,10,11,10,CERA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,54,69,78,84,76,77,66,99,64,77,61,109,62,CERA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,26%,27%,25%,25%,26%,22%,24%,26%,10%,24%,21%,24%,CERA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,40,51,57,63,57,57,52,76,47,69,46,86,47,CERA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,30.36,39.02,43.38,48.25,43.27,43.75,39.12,57.61,36.18,52.27,35.22,65.84,35.80,CERA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CERA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,4102,3913,3129,3102,4310,4352,3244,3387,4863,4700,3561,3877,5202,CESC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,3452,3423,2633,2589,3586,3706,2898,2977,4492,3804,2951,3065,4338,CESC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,650,490,496,513,724,646,346,410,371,896,610,812,864,CESC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,16%,13%,16%,17%,17%,15%,11%,12%,8%,19%,17%,21%,17%,CESC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,191,421,426,547,323,423,617,645,744,189,396,293,311,CESC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,265,274,289,289,308,305,296,325,322,328,339,335,363,CESC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,217,221,219,221,300,303,303,311,301,295,305,304,304,CESC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,359,416,414,550,439,461,364,419,492,462,362,466,508,CESC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,17%,23%,19%,19%,16%,21%,17%,1%,21%,19%,22%,17%,20%,CESC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,297,319,336,445,368,363,301,415,388,373,282,385,404,CESC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,2.16,2.30,2.41,3.27,2.62,2.63,2.12,3.02,2.85,2.66,2.00,2.81,2.92,CESC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CESC.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,1643,1696,1752,1903,1874,2002,1979,2192,2228,2413,2516,2753,2878,CGPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,1456,1437,1475,1627,1609,1693,1718,1908,1900,2118,2185,2406,2497,CGPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,186,260,277,275,265,309,261,284,327,295,331,347,381,CGPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,11%,15%,16%,14%,14%,15%,13%,13%,15%,12%,13%,13%,13%,CGPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,16,11,60,199,29,43,579,42,33,29,34,71,28,CGPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,5,5,4,2,1,0,1,1,1,2,1,3,2,CGPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,24,25,23,25,24,23,24,24,24,28,28,32,44,CGPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,173,241,310,447,270,329,816,301,336,294,335,384,364,CGPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,25%,26%,26%,5%,24%,26%,8%,22%,28%,25%,29%,29%,27%,CGPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,130,179,228,426,204,242,748,234,241,220,238,274,267,CGPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,0.85,1.17,1.49,2.79,1.33,1.59,4.89,1.53,1.58,1.45,1.57,1.78,1.76,CGPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CGPOWER.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,253,248,290,338,311,315,374,418,361,377,458,522,895,CHALET.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,151,163,176,186,201,189,208,235,221,228,253,281,537,CHALET.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,102,85,113,152,110,126,166,183,140,150,205,241,357,CHALET.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,40%,34%,39%,45%,35%,40%,44%,44%,39%,40%,45%,46%,40%,CHALET.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,6,4,93,-11,4,4,6,6,8,6,7,15,14,CHALET.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,39,38,37,41,45,50,48,53,32,34,45,48,49,CHALET.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,30,30,28,30,31,35,35,37,39,42,48,50,54,CHALET.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,39,21,141,71,37,44,89,99,78,79,118,159,269,CHALET.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,27%,26%,27%,49%,-138%,18%,20%,17%,22%,274%,18%,22%,24%,CHALET.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,29,16,102,37,89,36,71,82,61,-139,97,124,203,CHALET.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,1.39,0.77,4.99,1.79,4.32,1.77,3.44,4.01,2.78,-6.35,4.42,5.67,9.30,CHALET.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CHALET.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,23163,19509,16055,18009,14745,16545,17376,17720,17095,12086,12925,17249,14812,CHENNPETRO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,19757,19284,15621,16382,13795,14740,16696,16678,16432,12761,12683,16464,14714,CHENNPETRO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,3405,225,434,1627,950,1804,680,1042,663,-675,242,785,99,CHENNPETRO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,15%,1%,3%,9%,6%,11%,4%,6%,4%,-6%,2%,5%,1%,CHENNPETRO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,2,4,3,10,10,10,8,19,19,19,15,32,26,CHENNPETRO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,76,61,108,84,57,65,50,51,48,52,79,66,37,CHENNPETRO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,133,143,141,157,147,157,151,151,150,153,153,150,151,CHENNPETRO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,3198,25,188,1396,756,1593,486,859,484,-862,24,602,-64,CHENNPETRO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,31%,23%,27%,26%,25%,25%,27%,26%,-26%,15%,22%,-37%,CHENNPETRO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,2358,17,144,1013,556,1195,365,628,357,-634,21,470,-40,CHENNPETRO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,158.32,1.14,9.68,68.01,37.37,80.28,24.53,42.17,23.98,-42.55,1.40,31.56,-2.69,CHENNPETRO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CHENNPETRO.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue +,2770,3017,3356,3741,4100,4623,5007,5410,5812,6255,6733,7046,7267,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,1130,1340,1543,1734,2006,2204,2441,2579,2796,3059,3275,3365,3468,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,879,940,912,902,1174,1391,1412,1417,1727,1897,2038,2010,2286,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Profit,760,736,901,1105,920,1028,1155,1414,1289,1300,1420,1671,1512,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financing Margin %,27%,24%,27%,30%,22%,22%,23%,26%,22%,21%,21%,24%,21%,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,26,50,52,93,71,73,47,105,45,68,105,92,87,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,28,28,30,36,39,39,46,75,59,63,59,64,67,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,759,759,923,1163,952,1062,1156,1444,1275,1305,1466,1699,1532,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,26%,26%,26%,25%,27%,25%,26%,26%,26%,26%,26%,26%,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,562,563,685,855,710,773,872,1065,947,968,1088,1260,1138,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,6.84,6.85,8.33,10.40,8.64,9.40,10.39,12.68,11.27,11.52,12.94,14.98,13.53,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross NPA %,,,,,,,,,,,,,,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CHOLAFIN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,5375,5829,5810,5739,6329,6678,6604,6163,6694,7051,7073,6730,6957,CIPLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,4232,4526,4403,4566,4835,4944,4856,4847,4978,5165,5084,5192,5179,CIPLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,1143,1302,1408,1174,1494,1734,1748,1316,1716,1886,1989,1538,1778,CIPLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,21%,22%,24%,20%,24%,26%,26%,21%,26%,27%,28%,23%,26%,CIPLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,103,123,114,-48,136,176,-10,249,160,191,222,289,259,CIPLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,18,26,32,34,16,26,30,18,18,15,15,14,14,CIPLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,254,299,272,346,239,290,233,288,247,272,280,309,253,CIPLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,975,1100,1218,745,1375,1594,1474,1259,1611,1789,1916,1504,1770,CIPLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,28%,28%,34%,30%,28%,28%,28%,26%,27%,27%,17%,19%,27%,CIPLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,706,797,808,522,998,1155,1068,932,1175,1305,1575,1214,1292,CIPLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,8.51,9.78,9.92,6.51,12.33,14.01,13.08,11.63,14.58,16.13,19.45,15.13,16.06,CIPLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CIPLA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,234,248,237,217,188,181,195,228,224,238,241,264,243,CLEAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,143,150,129,112,112,106,108,133,129,148,142,159,143,CLEAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,91,97,108,105,76,75,87,95,95,90,98,105,100,CLEAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,39%,39%,46%,48%,40%,41%,44%,42%,42%,38%,41%,40%,41%,CLEAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,2,3,13,13,13,6,8,14,10,11,5,12,13,CLEAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,0,0,0,0,0,0,0,1,0,0,0,0,0,CLEAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,8,9,9,10,11,11,11,13,16,18,18,17,19,CLEAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,85,92,112,108,79,69,83,95,89,83,85,100,95,CLEAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,26%,26%,25%,25%,25%,25%,25%,26%,26%,29%,23%,26%,26%,CLEAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,63,68,84,81,59,52,63,70,66,59,66,74,70,CLEAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,5.92,6.40,7.89,7.58,5.55,4.91,5.89,6.61,6.20,5.53,6.18,6.97,6.59,CLEAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,CLEAN.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,35092,29838,35169,38152,35983,32776,36154,38213,36465,30673,36859,37825,35842,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,22865,22700,24781,28819,22431,22738,23183,26826,22126,22056,24541,26034,23321,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,12227,7139,10389,9333,13552,10038,12971,11388,14339,8617,12317,11790,12521,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,35%,24%,30%,24%,38%,31%,36%,30%,39%,28%,33%,31%,35%,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,995,1761,1671,2291,1538,2074,2489,2318,1970,1642,2214,4106,1760,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,150,135,204,195,178,182,227,232,209,208,226,241,265,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,994,1077,1262,1860,1527,1594,1723,1892,1952,1898,2513,2782,2307,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,12077,7687,10594,9569,13385,10336,13510,11582,14147,8153,11792,12873,11709,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,27%,21%,27%,28%,22%,22%,24%,26%,23%,23%,28%,25%,25%,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,8834,6044,7719,6869,10498,8049,10292,8530,10944,6275,8491,9593,8734,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS in Rs,14.33,9.81,12.58,11.16,17.08,13.06,16.64,13.91,17.78,10.21,13.80,15.58,14.19,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,,COALINDIA.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales +,441,683,642,600,476,1012,1056,1286,771,1143,1148,1758,1069,COCHINSHIP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses +,409,548,493,667,397,821,746,998,594,946,910,1492,827,COCHINSHIP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Profit,32,135,148,-67,79,191,310,288,177,197,237,266,241,COCHINSHIP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM %,7%,20%,23%,-11%,17%,19%,29%,22%,23%,17%,21%,15%,23%,COCHINSHIP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income +,56,62,23,133,84,89,58,80,84,101,47,157,54,COCHINSHIP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,12,12,12,-1,9,10,8,7,7,9,11,12,12,COCHINSHIP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,19,20,19,11,17,19,20,19,19,26,32,27,34,COCHINSHIP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before tax,56,165,140,57,137,251,340,342,236,263,242,384,250,COCHINSHIP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax %,25%,32%,21%,30%,28%,28%,28%,24%,26%,28%,27%,25%,25%,COCHINSHIP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit +,42,113,110,39,99,182,244,259,174,189,177,287,188,COCHINSHIP.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
